militia मिलिशिया
marshmallow मार्शमैलो
variable परिवर्तनीय
greenhouse ग्रीनहाउस
authority प्राधिकरण
come आईये
heart ह्रदय
porn अश्लील
como como
compressor संपीडक
current धारा
lavender लैवेंडर
regressive प्रतिगामी
contributor योगदानकर्ता
pal pal
micro सूक्ष्म
helmet हेलमेट
thrill रोमांच
dev dev
pictures पिक्चर्स
utility सुविधा
infected संक्रमित
synchronous तुल्यकालिक
interests रुचियों
certification प्रमाणन
eruption फटना
potential संभावित
since चूंकि
enlightened प्रबुद्ध
bindings बाइंडिंग
lowest निम्नतम
coordination समन्वय
pipeline पाइपलाइन
such ऐसी
abuse गाली
latency विलंबता
homo होमो
balanced संतुलित
chihuahua चिहुआहुआ
kidney kidney
virginia वर्जिनिया
exact सटीक
french फ़्रांसीसी
absorb अवशोषित
remaining शेष
puzzling शोचनीय
wrapped लपेटा
lucid सुबोध
thomas थामस
joseph जोसेफ
wealth दौलत
nearest निकटतम
pick pick
workers श्रमिकों
lone लोन
demands मांगें
variant चर
communism साम्यवादी
introductory परिचयात्मक
missiles मिसाइलें
peaceful शांतिपूर्ण
critical गंभीर
agree सहमत
wer वेर
campaigner प्रचारक
disposable डिस्पोजेबल
partner साझेदार
houston ह्यूस्टन
hands हाथों
teaching शिक्षण
swap स्वैप
lad बालक
rehabilitation पुनर्वास
fearless निडर
serialization अनुक्रमण
slay हत्या
ginger अदरक
logo लोगो
mullet mullet
bloated फूली
quest क्वेस्ट
ware वेयर
nod सम्मति
single अकेला
servant बन्दा
allah अल्लाह
saudi सऊदी
reel रील
criminals अपराधियों
district जिलाध्यक्ष
defeat शिकस्त
san सैन
alert सतर्क
what कया
mistress प्रेयसी
synonym पर्याय
quick जल्दी
brush ब्रुश
thatch फूस
goat बकरा
reflect परावर्तन
photographer फोटोग्राफर
dribbling ड्रिब्लिंग
fragment टुकड़ा
host होस्ट
description विवरण
monetization मुद्रीकरण
institutions संस्थाओं
quote उद्धरण
dragged घसीटा
error त्रुटि
discovery खोज
accident accident
tuning ट्यूनिंग
combined संयुक्त
dripping टपकता
prayers प्रार्थना
prize पुरस्कार
boys लड़के
clothes कपड़े
physiology physiology
crematorium शमशान
falling गिरना
exam exam
located स्तिथ
hydrogenation हाइड्रोजनीकरण
portability पोर्टेबिलिटी
impress इम्प्रेस
tine टाइन
cosmetic कॉस्मेटिक
maximize अधिकतम
entre entre
leisure अवकाश
thesis लेख
skirt स्कर्ट
disposable सुलभ
fond शौकीन
movement आन्दोलन
individualism व्यक्ति
breakout ब्रेकआउट
page पृष्ठ
fruition फलीभूत
trolley ट्राली
transistor ट्रांजिस्टर
chance चांस
potato आलू
vehemently जोरदार
branches शाखा
survival अस्तित्व
producer उत्पादक
guitar गिटार
runners धावक
flair फ्लेयर
boxing मुक्केबाज़ी
opinions राय
carbonated कार्बोनेटेड
habitat आवास
airbag एयरबैग
inhibitors inhibitors
close बन्द
purchased खरीदा
laps गोद
needle सुई
liner लाइनर
sinusoidal ज्यावक्रीय
falls झरना
eternal सनातन
exercise exercise
hulk हल्क
corpses शवों
block खंड
ash ऐश
treaty संधि
inhabitants निवासियों
loop पाश
dulce जलेबी
utah यूटा
greece यूनानी
pleasure ख़ुशी
sterling स्टर्लिंग
pane फलक
growth विकास
immediate तत्काल
repairs मरम्मत
sally सैली
invalid अवैध
waterways जलमार्गों
educated शिक्षित
tight कस
int int
town कस्बा
pints इकाईयाँ
roam फिरो
misfortune तकलीफ
latex लेटेक्स
outstanding उत्कृष्ट
courtesy सौजन्य
objections आपत्ति
ladder सीढ़ियाँ
smiles मुस्कुराहट
granite ग्रेनाइट
alarm सचेतक
dragons ड्रेगन
plan योजना
allegiance निष्ठा
definitions परिभाषाएं
sleeve आस्तीन
unit ईकाई
premier प्रीमियर
legs टाँगे
bunker बंकर
minaret मीनारों
walker वाकर
underwater भाटे
lost खोया
there वहाँ
guerrilla छापामार
verify सत्यापन
stamp स्टैम्प
army सेना
conferences सम्मेलनों
crispy कुरकुरे
calculus कलन
communal साम्प्रदायिक
mixer मिश्रित
lily लिली
subtraction घटाना
zip ज़िप
innovation नवीनता
sanctions प्रतिबंधों
movies फिल्में
mary मरियम
ditch खाई
happy हैप्पी
incomplete अधूरा
boxing मुक्केबाजी
hippocampus हिप्पोकैम्पस
conflicts विरोध
articles आलेख
major मेजर
discussions चर्चाएँ
achievement उपलब्धि
syndication अनुप्रयोग
journey सफ़र
apologetic क्षमाप्रार्थी
diplomat राजनयिक
carpentry बढ़ई
ethanol इथेनॉल
divided विभाजित
fonts फ़ॉन्ट्स
resign इस्तीफा
users उपयोगकर्ताओं
chairman अध्यक्ष
cycle चक्र
wax मोम
rainbow इंद्रधनुष
notebooks नोटबुक
president राष्ट्रपति
exhibition प्रदर्शनी
esteemed सम्मानीय
discovery डिस्कवरी
artifact centuries
companies कंपनियों
martyr वीरगति
attendee आगंतुक
its इसका
wah wah
camp कैंप
gender लिंग
visualization कल्पना
data आंकड़ा
sections भाग
promotions प्रचार
quilt रजाई
humility विनम्रता
ssp एसएसपी
managing प्रबंध
loss नुकसान
romance रोमांस
reservations आरक्षण
reactive प्रतिक्रिया
celtic सेल्टिक
thanks शुक्रिया
adults वयस्कों
spanish स्पेनी
wife बीवी
outlets आउटलेट
socks मोजे
causes कारण
aerobic एरोबिक
salwar सलवार
unrestricted अप्रतिबंधित
based आधारित
prudent दूरदर्शी
defamation मानहानि
magic जादू
ottoman ओटोमन
towels तौलिए
loud लाउड
hrs घंटे
templates टेम्प्लेट
concurrent समवर्ती
window खिडकी
indent हाशिये
faces चेहरों
quad क्वाड
theatre सिनेमाघर
estimate एस्टीमेट
trout ट्राउट
photography फोटोग्राफी
noodle नूडल
admission प्रवेश
bullying धमकाना
chord कार्ड
fri शुक्र
yogurt दही
convince मनाना
iraq इराक
excited उत्साहित
curious उत्सुक
impossible असम्भव
experience अनुभव
floral पुष्पक
config config
stuff सामान
burying दफना
disability अक्षमता
travelling यात्राएं
darn शाप
duke ड्यूक
puppy पिल्ला
correspondents संवाददाताओं
perch पर्च
british अंग्रेजों
players खिलाडी
widespread फैली
markets बाजार
environmental पर्यावरणीय
presentation प्रस्तुतीकरण
virginia वर्जीनिया
null रिक्त
penny पैनी
satisfaction संतुष्टि
linguistics भाषाविज्ञान
fear ख़ौफ़
swathe कंवलजीत
graduated ग्रैजुएट
alerts अलर्ट
chi ची
thickness मोटाई
quiescent सुप्त
approved स्वीकृत
tequila टकीला
survey सर्वेक्षण
council परिषद
curtain पर्दा
caliph ख़लीफ़ा
adage कहावत
lux लक्स
volvo वोल्वो
husbands पतियों
climbers चढना
fiesta पर्व
prisoners कैदी
garbage कचरा
conversations बातचीत
coca कोका
fishes मछलियों
newspaper अख़बार
swirl भंवर
samba साम्बा
quintessential शेखी
people लोगों
champions champions
institutes संस्थान
volume वाल्यूम
teachers शिक्षक
plain सादा
tourists पर्यटक
aids एड्स
agreed सहमति
singing गायकों
expectations उम्मीदों
courtyard प्रांगण
smell महकते
tanker टैंकर
suggestions सुझाव
sibling सहोदर
platform प्लेटफ़ॉर्म
sensitive संवेदनशील
headsets हेडसेट
roleplay लिए
millennials सहस्त्राब्दी
super सुपर
invite आमंत्रण
almond बादाम
adoption अपनाना
veronica वेरोनिका
uncomfortable असहज
bulldog बुलडॉग
appreciation सराहना
adolescence किशोरावस्था
rape बलात्कार
pronunciation उच्चारण
moustache मूंछ
habit आदत
docs दस्तावेज
academy अकादमी
prices दामों
volunteering स्वयंसेवा
cross क्रॉस
blouse ब्लाउज
revenue आय
scientific वैज्ञानिक
mount माउंट
water पानी
sub sub
conjugation संयुग्मन
toad टॉड
heroism वीरता
eraser रबर
natural स्वाभाविक
wildebeest विल्डबीस्ट
bland बेस्वाद
gourd करेले
extraction निष्कर्षण
beware खबरदार
transcription ट्रांसक्रिप्शन
offer ऑफर
presentation प्रस्तुतिकरण
attackers हमलावर
more अधिक
merrily घुलमिल
spoon चमचा
multiplication गुणन
disputed विवादित
smiling मुस्कुराना
petitioners याचिकाकर्ताओं
not नहीं
resolution समाधान
insidious मक्कार
swing झूले
successful सफल
fingers उँगलियाँ
numbers संख्या
cervix ग्रीवा
locomotives इंजनों
daily रोजाना
howling कलंदर
impartial निष्पक्ष
shooting शूटिंग
newspaper समाचारपत्र
swamp मग्न
choice पसंद
slanted टेढ़ा
induction प्रेरण
ethernet ईथरनेट
oily तैलीय
septal पटलीय
him उसे
tube नलिका
damn लानत
continuance फिराकर
cluster गुच्छ
vomit उल्टी
souvenirs कलाकृतियां
led led
turn मोड़ना
wisdom अकल
keys कुंजियाँ
cyclone चक्रवात
greetings बधाई
unfit अयोग्य
sprain मोच
specimens नमूने
stars तारें
perry पेरी
deceive फ़रेब
giant दानव
antigen प्रतिजन
long long
door द्वार
adequate पर्याप्त
expression एक्सप्रेशन
kumar कुमार
pit गड्ढा
fibers मछली
motivation हौसला
suv एसयूवी
creatures जीव
danish डैनिश
mojo मोजो
safe सुरक्षित
stretcher स्ट्रेचर
alien एलियन
boston बोस्टन
hieroglyphs चित्रलिपि
dolphins डॉल्फिन
seattle सिएटल
anode धनाग्र
learning सीखना
bbc बीबीसी
cutoff कॉफ़ी
groom दूल्हे
scaling रेटिंग
too भी
textbooks पाठ्यपुस्तकों
skills कौशल
adam आदम
urgent तात्कालिक
looser हारे
manly मर्दानी
bowl कटोरी
generation पीढी
aggression आक्रामकता
nut नट
harassed प्रताड़ित
positions स्थितियाँ
editing संपादन
modified परिवर्धित
mannequin पुतला
relatives रिश्तेदारों
bolero बोलेरो
pakistan pakistan
sweat पसीने
calculate गणना
lakh लाख
lioness शेरनी
imaginative कल्पनाशील
official सरकारी
cologne कोलोन
smokey स्मोकी
forgiving क्षमाशील
dimensions आयाम
rules नियम
supposedly माना
addicted आसक्त
increase बढ़ेगी
chicken मुर्गी
refugee शरणार्थी
dana दना
embarrassed शर्मिंदा
fleet बेड़े
indignation क्रोध
nervous घबरा
bastion गढ़
sponsors प्रायोजकों
mane माने
mill मिल
folk लोक
indeed बेशक
military फौजी
mecca मक्का
count गिनती
status स्टेटस
plug प्लग
kiss किस
dart डार्ट
manuscripts पांडुलिपियों
room रूम
survivor उत्तरजीवी
exclusive विशेष
confident आश्वस्त
skate स्केट
anchor लंगर
activities गतिविधियाँ
emir अमीर
state राज्य
fancies कामनाओं
one एक
sonic सोनिक
acid एसिड
purpose purpose
starvation भुखमरी
black काला
definitive निर्णायक
fortress किला
bodyguard अंगरक्षक
starter प्रारंभ
awakens जगाता
slingshot गुलेल
biryani बिरयानी
scope कार्यक्षेत्र
journeys यात्राएं
disease रोग
trains ट्रेनों
welcomed सत्कार
mirrored प्रतिबिम्बित
jolly प्रसन्न
ambiguous अस्पष्ट
lim लिम
table मेज़
rallies रैलियों
brief संक्षिप्त
massage मसाज
such ऐसे
does करता
testing परीक्षण
jaundice पीलिया
empire साम्राज्य
bike बाइक
court न्यायालय
dine खाने
pathogenic रोगजनक
carter कार्टर
peter पीटर
lodge आवास
infinitely असीम
mounted आरोहित
yeah हाँ
installs इंस्टॉल
apprentice प्रशिक्षु
mathematical गणितीय
gimmicks चालबाजी
blockade नाकेबंदी
clinic क्लीनिक
astute बुद्धिमान
rapid द्रुत
unanswered अनुत्तरित
asbestos अदह
call काल
belief मान्यता
pastoral लुभावने
catalogs कैटलॉग
befitting करारा
transformations रूपांतरण
formless निराकार
marathon मैराथन
discrimination भेदभाव
publisher प्रकाशक
headache सिरदर्द
mute मौन
girl लडकी
wound जख्म
opal ओपल
silent मूक
deadly घातक
deletes मिटाता
nitrogen नाइट्रोजन
primetime प्राइमटाइम
saga गाथा
scarlet स्कारलेट
priority प्रधानता
raider रेडर
hellish नारकीय
match माचिस
ingots पिंडों
lodging आवास
draw खींचें
programmer प्रोग्रामर
recorded दर्ज
philosophy दर्शन
unhappy अप्रसन्न
blame दोष
buster बस्टर
address पता
publicly सरेआम
sparingly कभार
motorcycle मोटरसाइकल
comments टिप्पणियाँ
internal आंतरिक
laughing हँस
gene जीन
told बताया
congress कॉंग्रेस
leaf पत्ती
para पैरा
prey शिकार
bother परेशान
wide वाइड
digitally डिजिटली
unwary असावधान
biased पक्षपातपूर्ण
scalable स्केलेबल
humans इंसानो
refuge शरण
lines रेखाएं
great ग्रेट
handbags हैंडबैग
scramble हाथापाई
dream ख्वाब
drill ड्रिल
hiking हाइकिंग
router राउटर
helper मददगार
scrub स्क्रब
dirty गंदे
encoder एनकोडर
anderson एंडरसन
extension विस्तार
medicine आयुर्विज्ञान
eagerness उत्सुकता
unpredictable मनमौजी
glutamate ग्लूटामेट
iphone आईफ़ोन
medicines दवाइयाँ
methods विधियां
interpretation व्याख्या
fat मोटी
sweetest मधुर
garage गैराज
powers शक्तियाँ
literacy साक्षरता
portland पोर्टलैंड
conferring डाक्टरेट
slight तुच्छ
humane दयालु
pigs सुअरों
marriage शादी
lamp बत्ती
lauren लॉरेन
bean सेम
snake साँप
deserts रेगिस्तान
honda होंडा
geo geo
evangelical धर्मान्तरण
transliteration लिप्यन्तरण
district जिला
quartz स्फटिक
groan फ़रियाद
repentance पश्चाताप
fireman फायरमैन
breakfast नाश्ता
guilty अपराधी
nephew भतीजा
aggregate कुल
replacement प्रतिस्थापन
spicy मसालेदार
bored ऊब
razor रेज़र
sparks स्पार्क्स
peaks चोटियों
device डिवाइस
harmonic हार्मोनिक
sites साइट
miseries मुसीबतें
simulation सिमुलेशन
reggae रेग
avenged एवेंज्ड
dos डॉस
antisocial असामाजिक
real रियल
nook नुक्कड़
xii बारहवीं
windows विंडोज़
spinach पालक
demands मांगो
bizarre अजीबोगरीब
ambient परिवेश
wizard विज़ार्ड
mellow मेलो
morbidly रुग्ण
revolving घूमती
round राउंड
marijuana मारिजुआना
sur सुर
essay निबंध
ammonium अमोनियम
projects परियोजनाएं
glare चकाचौंध
politics राजनीती
poetry कविता
displacement विस्थापन
replacement बदला
dolls डॉल
although हालाँकि
ear कान
deport निर्वासित
times टाइम्स
anterior अग्रवर्ती
bowling गेंदबाजी
presentation प्रस्तुति
edition संस्करण
employers नियोक्ता
difficulty परेशानी
frosty ठंढा
siren सायरन
judicious न्यायसंगत
forces बलों
tomato टमाटर
projection प्रक्षेप
los लॉस
liberation मुक्ति
top उपर
policemen पुलिसकर्मियों
forum फ़ोरम
appreciate कद्र
probiotics प्रोबायोटिक्स
inversion व्युत्क्रम
vouchers वाउचर
mere mere
chat चैट
kai कै
billing बिलिंग
simple साधारण
comedians कॉमेडियन
mexican मेक्सिकन
contrast कंट्रास्ट
gravitational गुरुत्वाकर्षक
accelerators त्वरक
convex उत्तल
trades ट्रेड
south साउथ
calendar कैलेंडर
courses पाठ्यक्रम
ancient प्राचीन
chlorine क्लोराइड
elaborately विस्तारपूर्वक
iridium इरीडियम
desperate बेताब
melody राग
flank पार्श्व
fractions भिन्नों
symbols प्रतीक
tenth दसवाँ
mass द्रव्यमान
upholstery असबाब
actress अदाकारा
storage भंडारण
ill बीमार
mini मिनी
fortunes सौभाग्य
deck डेक
millionaire करोड़पति
shocked अचंभित
fighters सेनानियों
tour दौरे
drafts मसौदा
dogs कुत्तों
husk कुटाई
curvature गोलाई
capabilities सामर्थ्य
don डॉन
library लाइब्रेरी
sorrow गम
returned लौटाया
spirits स्पिरिट
lighted सुलगती
hemorrhoids बवासीर
bioethics जैवनैतिकता
capitalism पूंजीवाद
flavor फ्लेवर
possession कब्जे
terrorize आतंकित
subtle सूक्ष्म
symbolic सांकेतिक
locker लॉकर
religions धर्मों
cats बिल्लियाँ
carbohydrate शर्करा
qualification योग्यता
infrared इन्फ्रारेड
evaluation मूल्यांकन
inspection निरीक्षण
dowry दहेज
portfolios छीने
inactivity निष्क्रियता
effusion उत्सर्ग
bread रोटी
abbreviation संक्षिप्त
location स्थान
awesome अदभुत
solo solo
lucky लकी
clerks क्लर्क
myopia अदूरदर्शिता
lists सूचियां
singers गायकों
intellectual बौद्धिक
dei देई
across आरपार
robert राबर्ट
boyhood लड़कपन
petroleum पेट्रोलियम
indignation आवेश
cassette कैसेट
nach नच
stickers स्टिकर
strike स्ट्राइक
organisers आयोजकों
attitude एटीट्यूड
servants बन्दों
outpost चौकी
treat दावत
rockstar रॉकस्टार
ready तैयार
street सड़क
female मादा
backed समर्थित
handy सुलभ
increase बढ़ाएं
rolls रोल्स
conductor कंडक्टर
venue स्थल
carol कैरल
devotee भक्त
nitrite नाइट्राइट
massachusetts मैसाचुसेट्स
ward वार्ड
visible दृश्य
template टेम्प्लेट
wich विच
drones ड्रोन
rabbits खरगोश
puzzle पहेली
dream ड्रीम
present मौजूदा
merged मिलाया
hydride हाइड्राइड
collision टक्कर
cathode कैथोड
bite काटो
frustrated कुंठित
rethink पुनर्विचार
cytoplasm कोशिकाद्रव्य
village गांव
interview इंटरव्यू
broadway ब्रॉडवे
paracetamol पेरासिटामोल
crowd भीड
cognizant अवगत
shirts शर्ट
bunny बनी
fifteen पन्द्रह
expressionism अभिव्यंजनावाद
thin पतला
gully गुल्ली
wiki विकिपीडिया
suppresses दबा
vision दृष्टि
migraine माइग्रेन
dutch डच
balance संतुलन
smile स्माइल
secure सुरक्षित
spelling स्पेलिंग
gritty किरकिरी
sponsored प्रायोजित
tennis टेनिस
bought खरीदी
knees अदब
dominance दबदबा
def डेफ
fan fan
energy ऊर्जा
loathsome घृणास्पद
dash डैश
latitude अक्षांश
million मिलियन
policy पॉलिसी
credits श्रेय
scarcity किल्लत
johnson जॉनसन
visible दृष्टिगोचर
mint मिंट
astrologers फलित
photography छायांकन
salvation मोक्ष
diacritics diacritics
energetic ऊर्जावान
civilians नागरिकों
dictum कहावत
recurring आवृत्ति
necessary जरुरी
greek ग्रीक
preposterous हास्यास्पद
warming वार्मिंग
mitsubishi मित्सुबिशी
horse घोड़ा
unrequited एकतरफा
founded संस्थापित
refugees शरणार्थी
rhythm लय
channels चैनल्स
strategic रणनीतिक
relation सम्बन्ध
cob शील
succulent गूदेदार
celebrations जश्न
helpful सहायक
hong हांग
incredible अतुल्य
torso धड़
trickster चालाक
crust क्रस्ट
dainty सुकुमार
pay अदा
whom जिसे
expats प्रवासी
servers सर्वर
hoo हू
combo कॉम्बो
strikes हमलों
index निर्देशिका
character कैरेक्टर
wash धो
locations अवस्थिति
mantras मन्त्र
space स्पेस
shared साझेदारी
empiricism अनुभववाद
strait जलसन्धि
storeys मंजिलों
kill मारो
prada प्रादा
throw throw
sir श्रीमान
reviewed अनुमोदित
topper टॉपर
solenoid परिनालिका
beryllium बेरिलियम
respiration श्वसन
theorem प्रमेय
wonder अचरज
arsenal आर्सेनल
prisoner क़ैदी
unhelpful अनुपयोगी
programme कार्यक्रम
dome डोम
rio रियो
violin सारंगी
und und
elders बड़ों
rainforest वर्षा
section खण्ड
buddy बड्डी
procurement खरीद
fighting लड़
subject विषय
ultrasound अल्ट्रासाउंड
pen पेन
gig फिरकी
singing गाना
homes होम
saturation संतृप्त
doi doi
utilitarian उपयोगितावादी
thumb अंगूठा
oxygen आक्सीजन
priceless अमूल्य
pupils विद्यार्थियों
compose लिखें
warship युद्धपोत
justice न्याय
lists सूची
reluctantly अनिच्छा
starred स्ट्रक्चर
washington वॉशिंगटन
spherical गोलाकार
secret गोपनीय
impeccable निर्दोष
approach दृष्टिकोण
operation संचालन
telecommunications दूरसंचार
king बादशाह
picnic पिकनिक
congressmen कांग्रेसियों
type प्रकार
leisure फुरसत
oxford ऑक्सफोर्ड
urdu उर्दू
alkali क्षारीय
shells शेल
ape कपि
relevant प्रासंगिक
backups बैकअप
crippled अपंग
saturation संतृप्ति
good गुड
allocation आवंटन
fight लड़ो
hateful घृणित
breeze हवा
magazines मैगज़ीन
magnate महारथी
politely घबराये
hired नियुक्त
scenic दर्शनीय
ions ions
fraudulent बेईमान
workers मजदूर
aether ईथर
lycopene लाइकोपेन
masked नकाबपोश
means अर्थात्
nourishes कंद
vibrant जीवंत
insulin इन्सुलिन
spoiler बिगाड़ने
career कैरियर
weighted भारित
powder पाउडर
dare हिम्मत
anniversaries वर्षगांठ
dirty गन्दा
ascension आरोहण
israel इज़राइल
tuck टक
management प्रबंधन
gunshots गोलियों
aligned लकीर
picture चित्र
complex परिसर
pinnacle बुर्ज
friendly दोस्ताना
relevance प्रासंगिक
fresh ताज़ा
efficient कुशल
endure सहन
negotiable परक्राम्य
obstruction रूकावट
blues ब्लेक
pulsar पल्सर
diphtheria डिप्थीरिया
trophies ट्राफियां
megabytes मेगाबाइट
plates प्लेटों
inverse विलोम
pinnacle पराकाष्ठा
cry क्राई
rivalry फंसने
accountants लेखपाल
donor दाता
deserve काबिल
doctorate डॉक्टरेट
accordingly तदनुसार
vectors सदिश
pre प्री
trafficking तस्करी
houses मकानों
semolina सूजी
revolver रिवाल्वर
pets पालतू
hypnotic सम्मोहक
explain बताइये
catering केटरिंग
after बाद
atrocities अत्याचार
distinguished विशिष्ट
frames गठन
learn सीख
suddenly एकाएक
noise रव
shy शर्मीली
coherent सुसंगत
humane सहृदय
notification अधिसूचना
catering खानपान
band बैंड
unix यूनिक्स
friends दोस्तों
escort अनुरक्षण
gunmen बंदूकधारियों
tilt झुकाव
heart दिल
feeds फीड
blade ब्लेड
reason कारण
diabetes मधुमेह
states स्टेट्स
monsters राक्षस
chai चाई
gatherings महफिलों
bandit बैंडिट
initiative पहल
frustrations कुंठाओं
dragonflies व्याध
victory विजय
prisoners बंदियों
caliph खलीफा
dan दन
steppe स्तान
inc inc
estate एस्टेट
sustainability स्थिरता
pastor पादरी
hostage बंधक
insurrection बगावत
patient मरीज
tenet सिद्धांत
disruptive विघटनकारी
dealership डीलरशिप
marketers विपणक
civilization सभ्यता
poor ग़रीब
moral moral
aligned figure
broken टूटी
professor प्राध्यापक
brothers भाइयो
indonesia इंडोनेशिया
chances संभावना
gala गाला
show दिखाओ
unprofitable अलाभकारी
kindness करुणा
nest घोंसला
cove कोव
puppy पप्पी
haiku हाइकु
luck लक
came आया
six छः
emigration करणों
noon नून
division विभाजन
bags बैग
recruit भर्ती
encircle घेरना
nutritious पौष्टिक
deprecated बहिष्कृत
walls दीवारें
coffee कॉफी
mortality मृत्यु
seduced बहकाया
jazz जैज़
competitions प्रतियोगिताओं
opacity अस्पष्टता
tan टेन
vague अस्पष्ट
revision संशोधन
batter बैटर
recurrent तूल
fascism फासीवाद
las लास
sphere गोला
bei बेई
green हरा
risers उठते
malice द्वेष
courtier नवरत्नों
meh मेह
bury दफनाने
regulation नियमन
rank दर्जा
tank टैंक
replica प्रतिरूप
keys कुंजी
impressed प्रभावित
sun सूरज
disillusionment मोहभंग
vegetarian शाकाहार
fevered विह्वल
colored रंगीन
groups समूहों
physics भौतिकी
inequality असमानता
thinker विचारक
inscription तख्ती
tasks कार्य
standardization मानकीकरण
fair मेला
engineering अभियान्त्रिकी
israel इसराइल
extravagance फिजूलखर्ची
dated दिनाँक
where कहाँ
earmarked अनुबंधित
birthplace जन्मस्थान
parallax लंबन
transmissions ट्रांसमिशन
customize अनुकूलित
builder बिल्डर
mediator मध्यस्थ
sad सैड
anecdote किस्सा
replies प्रत्युत्तर
log लॉग
anthropology मानवशास्त्र
acquisition प्राप्ति
discourse प्रवचन
status औकात
inductive आगमनात्मक
tiers टियर
omens शकुन
ports पोर्ट
losing खोने
plaster प्लास्टर
results परिणामों
gauge गेज
wonder आश्चर्य
malaysia मलेशियाई
docile आज्ञाकारी
canals नहरों
stalwart साहसी
vines बेलें
sweater स्वेटर
target लक्ष्य
real रीयल
opportunity अवसर
desires इच्छाओं
associate संबद्ध
heroine हीरोइन
ten दस
phone फ़ोन
torture टॉर्चर
relaxed आराम
photos फ़ोटो
cubs शावक
epilogue उपसंहार
aux aux
chartered चार्टर्ड
rotation घुमाव
thunder थंडर
deliver उद्धार
disequilibrium लड़खड़ा
contest प्रतियोगिता
villain खलनायक
crispy खस्ता
disdain घृणा
savanna सवाना
caffeine कैफीन
procedures प्रक्रियाओं
hai hai
trans trans
difficulty कठिनाई
reaction reaction
handlers हैंडलर
residual अवशिष्ट
edges किनारों
useful उपयोगी
unnamed बेनाम
initial आरंभिक
appropriation विनियोग
kill किल
appearance प्रकटन
pattern प्रतिकृति
studded जड़ित
links कड़ी
door दरवाज़ा
concerned चिंतित
engineering इंजीनियरी
beyond परे
layout लेआउट
decorative सजावटी
samsung सैमसंग
relationships रिश्तों
candle कैंडल
dictionary शब्दकोष
mouth मुख
turkey तुर्की
distinction भेद
monuments स्मारक
form फॉर्म
stylish स्टाइलिश
fame शोहरत
teams टीम
candidate प्रत्याशी
roaming रोमिंग
hut हट
west पश्चिम
difficult कठिन
slight क्षीण
payable देय
final फाइनल
locust टिड्डी
themes थीम
michelle मिशेल
miscellaneous विविध
understanding समझ
rumours अफवाह
propane प्रोपेन
sep सितम्बर
earner अर्जक
cling चिपकी
prostitute वेश्या
grass घास
beach बीच
hiding छुपाना
hydrate हाइड्रेट
lights प्रकाश
remix रिमिक्स
buddy बडी
erect वीर्यपात
breathing श्वास
stadium स्टेडियम
ramp रैंप
light हल्का
resurrection क़यामत
flows बहती
sierra सिएरा
traffic यातायात
snapshot स्नैपशॉट
amnesty माफ़ी
suspend निलम्बित
montana मोंटाना
allegations दोषारोपण
ingredients संघटक
platinum प्लेटिनम
blind अंधे
messengers रसूलों
wwe डब्ल्यूडब्ल्यूई
crying रो
bismuth बिस्मथ
miraculous चमत्कारी
momentary क्षणिक
explained समझाया
nutmeg जाय
wheeler व्हीलर
mpeg एमपीईजी
mean मतलब
sublime उच्च
capitals शीर्षों
five पाँच
abort छोड़ें
writer राइटर
geo जिओ
try कोशिश
abortion गर्भपात
busiest व्यस्ततम
exp exp
context सन्दर्भ
but लेकिन
empowering सशक्त
sandals चप्पल
moisture नमी
fingers उंगलियां
god भगवान
swim तैर
neutral तटस्थ
kick लात
unit यूनिट
weekly साप्ताहिक
high हाई
makeover बदलाव
lullaby लोरी
aug अगस्त
outdoors बाहरी
compost कम्पोस्ट
robustly कट्टे
majestic राजसी
brains दिमाग
shipments शिपमेंट
barrier अवरोध
prolific सफल
cache संचय
pigment रंजक
personnel कार्मिक
ring अंगूठी
consolation सांत्वना
trust ट्रस्ट
rangers रेंजर्स
continuously लगातार
relics अरबिंदो
countable गणनीय
dissertation dissertation
dominance प्रभुत्व
illustrator इलस्ट्रेटर
enhanced उन्नत
notice सूचना
runs रनों
wallet बटुआ
solder टाँका
guarantee गारंटी
books पुस्तकों
prescribed विहित
immersive अनूठा
deal सौदे
poison विष
tenant किरायेदार
textile वस्त्र
monotheism एकेश्वरवाद
kelly केली
ovation साधुवाद
yearly वार्षिक
signatures हस्ताक्षर
mile मील
statement बयान
actions क्रिया
artist कलाकार
stack चिपचिपा
topics विषयों
impervious अप्रभावित
handmade हस्तनिर्मित
aunt मौसी
barbed कंटीले
reflect प्रतिबिंबित
flint चकमक
mercy दया
tetanus टेटनस
fourth चौथा
roar दहाड़
cosy आरामदेह
quotas कोटा
knee घुटने
war युद्ध
rhymes छन्दों
roots जड़
postcard पोस्टकार्ड
resorts रिसॉर्ट्स
basil तुलसी
assistant सहायक
sojourn बसेरा
jack जैक
cylinders सिलेंडर
how कैसे
weak दुर्बल
cypher सिफर
scoring स्कोरिंग
churn निकले
canal नहर
giddy अस्थिर
angel परी
theorists पैरोकार
older पुरानी
nine नहला
oaks ओक्स
reception अभिनंदन
columns स्तंभ
thinker चिंतक
conciliatory मैत्रीपूर्ण
hypnosis सम्मोहन
pentagon प्रस्तुतीकरण
labourers मजदूर
triangle त्रिभुज
sustainability संधारणीयता
daily रोज़
prix प्रिक्स
genomics जीनोमिक्स
drift बहाव
treacherous कपटी
drizzle फुहार
scout स्काउट
dainty मृदु
reply जवाब
sex मैथुन
saints संतो
